@ID,CUSTOMER,CATEGORY,CURRENCY,ONLINE.ACTUAL.BAL,WORKING.BALANCE,OPENING.DATE
2000000,100265,6001,XAF,436638095,436638095,20231005
2000001,100949,6001,XAF,459418161,459418161,20251023
2000002,100318,6001,XAF,498868572,498868572,20250118
2000003,100993,1001,XAF,364210733,364210733,20251019
2000004,100412,1001,XAF,359735524,359735524,20241103
2000005,100519,1001,XAF,276939663,276939663,20230616
2000006,100830,6001,XAF,444046875,444046875,20230415
2000007,100714,1001,XAF,385176228,385176228,20241205
2000008,100178,6001,XAF,491456549,491456549,20241110
2000009,100315,6001,XAF,322891834,322891834,20251014
2000010,100161,6001,USD,158138170,158138170,20230524
2000011,100876,1001,USD,321128863,321128863,20250803
2000012,100573,6001,XAF,263684633,263684633,20250305
2000013,100387,6001,XAF,69165977,69165977,20241112
2000014,100122,6001,XAF,143416713,143416713,20240811
2000015,100689,6001,XAF,222771513,222771513,20250721
2000016,100232,6001,XAF,126257966,126257966,20240701
2000017,100532,6001,XAF,24395121,24395121,20230728
2000018,100466,1001,XAF,416387874,416387874,20231223
2000019,100411,6001,XAF,311827530,311827530,20250910
2000020,100855,1001,XAF,56856267,56856267,20250129
2000021,100596,6001,XAF,281938508,281938508,20230422
2000022,100792,6001,EUR,148457498,148457498,20231102
2000023,100632,1001,XAF,406001037,406001037,20240926
2000024,100886,1001,USD,132909054,132909054,20250825
2000025,100523,1001,XAF,382825151,382825151,20231004
2000026,100728,1001,XAF,23101394,23101394,20250125
2000027,100962,6001,XAF,414866825,414866825,20250728
2000028,100784,1001,XAF,474647674,474647674,20231210
2000029,100096,1001,XAF,149367246,149367246,20230327
2000030,100876,6001,XAF,198076277,198076277,20231004
2000031,100665,1001,XAF,170614214,170614214,20251001
2000032,100815,6001,XAF,337485254,337485254,20230609
2000033,100653,6001,XAF,487888527,487888527,20240208
2000034,100079,6001,XAF,394430530,394430530,20240505
2000035,100402,1001,USD,472956470,472956470,20230812
2000036,100108,6001,XAF,209575379,209575379,20231216
2000037,100304,6001,XAF,380978942,380978942,20250817
2000038,100979,1001,XAF,161691054,161691054,20240319
2000039,100961,1001,XAF,327487061,327487061,20240524
2000040,100012,1001,XAF,435647407,435647407,20240315
2000041,100469,6001,XAF,455776943,455776943,20240403
2000042,100489,1001,XAF,495963500,495963500,20240209
2000043,100671,1001,XAF,122804210,122804210,20231219
2000044,100313,1001,XAF,175645158,175645158,20230618
2000045,100874,6001,XAF,277133783,277133783,20230824
2000046,100088,6001,XAF,177273195,177273195,20241110
2000047,100458,6001,XAF,371370134,371370134,20250526
2000048,100479,6001,EUR,223183425,223183425,20240712
2000049,100626,6001,EUR,341913352,341913352,20250304
2000050,100588,6001,XAF,110968400,110968400,20240520
2000051,100522,6001,USD,477436515,477436515,20251107
2000052,100118,1001,XAF,110562674,110562674,20250317
2000053,100571,6001,XAF,435019818,435019818,20240715
2000054,100579,6001,XAF,263686371,263686371,20241007
2000055,100098,6001,XAF,472999088,472999088,20240809
2000056,100968,6001,EUR,141768972,141768972,20230515
2000057,100189,6001,XAF,120706706,120706706,20250331
2000058,100178,1001,XAF,418827765,418827765,20250829
2000059,100205,1001,XAF,233156741,233156741,20240203
2000060,100625,6001,XAF,396981985,396981985,20240721
2000061,100333,1001,XAF,162613036,162613036,20240214
2000062,100316,1001,XAF,443615762,443615762,20240722
2000063,100766,1001,XAF,97466277,97466277,20230811
2000064,100281,6001,XAF,280814547,280814547,20250401
2000065,100312,1001,XAF,284030640,284030640,20230826
2000066,100932,6001,XAF,233011798,233011798,20250204
2000067,100221,1001,XAF,285732927,285732927,20250408
2000068,100024,1001,USD,209998843,209998843,20250311
2000069,100699,6001,XAF,324759769,324759769,20231012
2000070,100099,6001,XAF,199008496,199008496,20250112
2000071,100440,1001,USD,328375466,328375466,20240724
2000072,100457,1001,XAF,52609955,52609955,20250818
2000073,100929,6001,XAF,263665558,263665558,20240326
2000074,100581,6001,EUR,71581407,71581407,20241104
2000075,100294,6001,XAF,254432220,254432220,20250222
2000076,100663,1001,XAF,48614179,48614179,20240204
2000077,100381,1001,XAF,116571147,116571147,20231219
2000078,100264,6001,XAF,318762713,318762713,20231222
2000079,100933,1001,XAF,89070672,89070672,20250812
2000080,100473,6001,XAF,232601963,232601963,20250525
2000081,100147,6001,XAF,153495119,153495119,20240909
2000082,100127,1001,USD,128359564,128359564,20251202
2000083,100426,6001,XAF,254505222,254505222,20240228
2000084,100935,6001,XAF,439304670,439304670,20240802
2000085,100987,6001,EUR,133620814,133620814,20230423
2000086,100209,1001,USD,316249649,316249649,20250630
2000087,100546,1001,USD,220645192,220645192,20240114
2000088,100513,6001,EUR,91285613,91285613,20230702
2000089,100644,1001,USD,218592819,218592819,20230608
2000090,100418,6001,XAF,221742823,221742823,20250817
2000091,100187,6001,XAF,191103845,191103845,20240501
2000092,100756,1001,XAF,425549116,425549116,20230814
2000093,100528,6001,USD,356984076,356984076,20230701
2000094,100576,1001,XAF,134889689,134889689,20240613
2000095,100010,1001,USD,381282179,381282179,20251010
2000096,100145,1001,XAF,229891035,229891035,20240325
2000097,100346,6001,XAF,122894836,122894836,20240503
2000098,100276,1001,USD,354079998,354079998,20241126
2000099,100913,1001,XAF,127477074,127477074,20240313
2000100,100938,6001,XAF,467038625,467038625,20241130
2000101,100636,1001,XAF,157544251,157544251,20250429
2000102,100618,1001,EUR,463187900,463187900,20251013
2000103,100781,6001,XAF,242391211,242391211,20230823
2000104,100204,6001,XAF,329694689,329694689,20250720
2000105,100293,6001,XAF,86348400,86348400,20231120
2000106,100992,6001,XAF,183144801,183144801,20230905
2000107,100666,6001,XAF,360186093,360186093,20230520
2000108,100063,6001,XAF,136499162,136499162,20250916
2000109,100619,1001,USD,64378760,64378760,20240507
2000110,100837,6001,EUR,430193765,430193765,20250809
2000111,100607,6001,XAF,373528529,373528529,20240329
2000112,100862,6001,XAF,152668015,152668015,20241002
2000113,100256,1001,XAF,211698465,211698465,20251020
2000114,100414,1001,XAF,29013073,29013073,20240326
2000115,100846,6001,XAF,355949849,355949849,20250514
2000116,100487,6001,XAF,114673054,114673054,20250406
2000117,100690,6001,XAF,421297878,421297878,20241213
2000118,100644,1001,XAF,441240883,441240883,20250117
2000119,100705,6001,XAF,24241397,24241397,20240215
2000120,100898,6001,XAF,167431850,167431850,20241102
2000121,100612,1001,XAF,241510854,241510854,20250707
2000122,100023,6001,XAF,226981053,226981053,20230613
2000123,100064,6001,XAF,312400863,312400863,20240313
2000124,100765,1001,XAF,380266443,380266443,20231202
2000125,100929,6001,XAF,348039115,348039115,20240901
